"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"China","2010","Total","Both Sexes","77","Census - de jure - complete tabulation","Final figure, complete","2012","5082383","1,2"
"China","2010","Total","Both Sexes","78","Census - de jure - complete tabulation","Final figure, complete","2012","4254858","1,2"
"China","2010","Total","Both Sexes","79","Census - de jure - complete tabulation","Final figure, complete","2012","3706915","1,2"
"China","2010","Total","Both Sexes","80","Census - de jure - complete tabulation","Final figure, complete","2012","3737259","1,2"
"China","2010","Total","Both Sexes","80 - 84","Census - de jure - complete tabulation","Final figure, complete","2012","13373198","1,2"
"China","2010","Total","Both Sexes","81","Census - de jure - complete tabulation","Final figure, complete","2012","2816693","1,2"
"China","2010","Total","Both Sexes","82","Census - de jure - complete tabulation","Final figure, complete","2012","2757918","1,2"
"China","2010","Total","Both Sexes","83","Census - de jure - complete tabulation","Final figure, complete","2012","2237138","1,2"
"China","2010","Total","Both Sexes","84","Census - de jure - complete tabulation","Final figure, complete","2012","1824190","1,2"
"China","2010","Total","Both Sexes","85","Census - de jure - complete tabulation","Final figure, complete","2012","1648160","1,2"
"China","2010","Total","Both Sexes","85 - 89","Census - de jure - complete tabulation","Final figure, complete","2012","5631928","1,2"
"China","2010","Total","Both Sexes","86","Census - de jure - complete tabulation","Final figure, complete","2012","1344215","1,2"
"China","2010","Total","Both Sexes","87","Census - de jure - complete tabulation","Final figure, complete","2012","1065276","1,2"
"China","2010","Total","Both Sexes","88","Census - de jure - complete tabulation","Final figure, complete","2012","858879","1,2"
"China","2010","Total","Both Sexes","89","Census - de jure - complete tabulation","Final figure, complete","2012","715398","1,2"
"China","2010","Total","Both Sexes","90","Census - de jure - complete tabulation","Final figure, complete","2012","553805","1,2"
"China","2010","Total","Both Sexes","90 - 94","Census - de jure - complete tabulation","Final figure, complete","2012","1578307","1,2"
"China","2010","Total","Both Sexes","91","Census - de jure - complete tabulation","Final figure, complete","2012","371079","1,2"
"China","2010","Total","Both Sexes","92","Census - de jure - complete tabulation","Final figure, complete","2012","287676","1,2"
"China","2010","Total","Both Sexes","93","Census - de jure - complete tabulation","Final figure, complete","2012","209291","1,2"
"China","2010","Total","Both Sexes","94","Census - de jure - complete tabulation","Final figure, complete","2012","156456","1,2"
"China","2010","Total","Both Sexes","95","Census - de jure - complete tabulation","Final figure, complete","2012","117522","1,2"
"China","2010","Total","Both Sexes","95 - 99","Census - de jure - complete tabulation","Final figure, complete","2012","369979","1,2"
"China","2010","Total","Both Sexes","96","Census - de jure - complete tabulation","Final figure, complete","2012","90889","1,2"
"China","2010","Total","Both Sexes","97","Census - de jure - complete tabulation","Final figure, complete","2012","68648","1,2"
"China","2010","Total","Both Sexes","98","Census - de jure - complete tabulation","Final figure, complete","2012","54689","1,2"
"China","2010","Total","Both Sexes","99","Census - de jure - complete tabulation","Final figure, complete","2012","38231","1,2"
"China","2010","Total","Both Sexes","100 +","Census - de jure - complete tabulation","Final figure, complete","2012","35934","1,2"

"footnoteSeqID","Footnote"
"1","For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan province of China."
"2","Data exclude 2.3 million servicemen, 4.65 million persons with permanent resident status difficult to define, and 0.12 per cent undercount based on the post enumeration survey."
